Timestamp,TimeInMs,BlinkRate(perminute),CurrentEyeBehavior,LengthofBehavior,VelocityofBehavior,RespiratoryFrequenct(perminute),CurrentAccelX,CurrentAccelY,CurrentAccelZ,CurrentAngVelX,CurrentAngVelY,CurrentAngVelZ
07_07_2023__10_36_39,1688740599284,0,Pursuit,0.0333251953125,4.04870939254761,0,0.7172867,-0.6562929,-0.2537341,0.01171827,-0.02237124,0.01917535
07_07_2023__10_36_39,1688740599300,0,Pursuit,0.0666656494140625,1.9850298166275,0,0.7172867,-0.6562929,-0.2537341,0.01012032,-0.02077329,0.02450183
07_07_2023__10_36_39,1688740599317,0,Pursuit,0.0666656494140625,1.9850298166275,0,0.7172867,-0.6562929,-0.2537341,0.007989727,-0.01917535,0.02823037
07_07_2023__10_36_39,1688740599333,0,None,0,0,0,0.7187505,-0.6567808,-0.2532461,0.003728539,-0.02290388,0.02982831
07_07_2023__10_36_39,1688740599350,0,None,0,0,0,0.7187505,-0.6567808,-0.2532461,0.003728539,-0.02290388,0.02982831
07_07_2023__10_36_39,1688740599366,0,Pursuit,0,40.314151763916,0,0.7187505,-0.6567808,-0.2532461,0.001065297,-0.02343653,0.03195891
07_07_2023__10_36_39,1688740599384,0,Pursuit,0,40.314151763916,0,0.7187505,-0.6567808,-0.2532461,0.002130594,-0.02396918,0.03249156
07_07_2023__10_36_39,1688740599400,0,Pursuit,0.0333251953125,1.51636910438538,0,0.7172867,-0.6601965,-0.253978,0.002130594,-0.02396918,0.03249156
07_07_2023__10_36_39,1688740599417,0,Pursuit,0.0333251953125,1.51636910438538,0,0.7158229,-0.6601965,-0.2534901,0.003195891,-0.02450183,0.03568745
07_07_2023__10_36_39,1688740599434,0,Pursuit,0.0666656494140625,1.56728935241699,0,0.7158229,-0.6601965,-0.2534901,0.00692443,-0.02450183,0.03675275
07_07_2023__10_36_39,1688740599450,0,Pursuit,0.0666656494140625,1.56728935241699,0,0.7158229,-0.6601965,-0.2534901,0.00692443,-0.02450183,0.03462215
07_07_2023__10_36_39,1688740599467,0,Pursuit,0.0999908447265625,2.18215656280518,0,0.7150909,-0.6631243,-0.2530022,0.00692443,-0.02450183,0.03462215
07_07_2023__10_36_39,1688740599484,0,Pursuit,0.0999908447265625,2.18215656280518,0,0.714847,-0.6633682,-0.2530022,0.01065297,-0.02343653,0.03089361
07_07_2023__10_36_39,1688740599500,0,None,0,0,0,0.714847,-0.6633682,-0.2530022,0.01225092,-0.02130594,0.02982831
07_07_2023__10_36_39,1688740599517,0,None,0,0,0,0.714847,-0.6633682,-0.2530022,0.01225092,-0.02130594,0.02982831
07_07_2023__10_36_39,1688740599533,0,None,0,0,0,0.7133831,-0.6645881,-0.2503184,0.01331621,-0.02290388,0.02823037
07_07_2023__10_36_39,1688740599550,0,None,0,0,0,0.7128952,-0.6621484,-0.2493425,0.01278356,-0.02183859,0.02503448
